"","V1","V2"
"1","ENSG00000000003.10","TSPAN6"
"2","ENSG00000000005.5","TNMD"
"3","ENSG00000000419.8","DPM1"
"4","ENSG00000000457.9","SCYL3"
"5","ENSG00000000460.12","C1orf112"
"6","ENSG00000000938.8","FGR"
"7","ENSG00000000971.11","CFH"
"8","ENSG00000001036.9","FUCA2"
"9","ENSG00000001084.6","GCLC"
"10","ENSG00000001167.10","NFYA"
"11","ENSG00000001460.13","STPG1"
"12","ENSG00000001461.12","NIPAL3"
"13","ENSG00000001497.12","LAS1L"
"14","ENSG00000001561.6","ENPP4"
"15","ENSG00000001617.7","SEMA3F"
"16","ENSG00000001626.10","CFTR"
"17","ENSG00000001629.5","ANKIB1"
"18","ENSG00000001630.11","CYP51A1"
"19","ENSG00000001631.10","KRIT1"
"20","ENSG00000002016.12","RAD52"
"21","ENSG00000002330.9","BAD"
"22","ENSG00000002549.8","LAP3"
"23","ENSG00000002586.13","CD99"
"24","ENSG00000002587.5","HS3ST1"
"25","ENSG00000002726.15","AOC1"
"26","ENSG00000002745.8","WNT16"
"27","ENSG00000002746.10","HECW1"
"28","ENSG00000002822.11","MAD1L1"
"29","ENSG00000002834.13","LASP1"
"30","ENSG00000002919.10","SNX11"
"31","ENSG00000002933.3","TMEM176A"
"32","ENSG00000003056.3","M6PR"
"33","ENSG00000003096.9","KLHL13"
"34","ENSG00000003137.4","CYP26B1"
"35","ENSG00000003147.13","ICA1"
"36","ENSG00000003249.9","DBNDD1"
"37","ENSG00000003393.10","ALS2"
"38","ENSG00000003400.10","CASP10"
"39","ENSG00000003402.15","CFLAR"
"40","ENSG00000003436.10","TFPI"
"41","ENSG00000003509.11","NDUFAF7"
"42","ENSG00000003756.12","RBM5"
"43","ENSG00000003987.9","MTMR7"
"44","ENSG00000003989.12","SLC7A2"
"45","ENSG00000004059.6","ARF5"
"46","ENSG00000004139.9","SARM1"
"47","ENSG00000004142.7","POLDIP2"
"48","ENSG00000004399.8","PLXND1"
"49","ENSG00000004455.12","AK2"
"50","ENSG00000004468.8","CD38"
"51","ENSG00000004478.5","FKBP4"
"52","ENSG00000004487.11","KDM1A"
"53","ENSG00000004534.10","RBM6"
"54","ENSG00000004660.10","CAMKK1"
"55","ENSG00000004700.11","RECQL"
"56","ENSG00000004766.11","CCDC132"
"57","ENSG00000004776.7","HSPB6"
"58","ENSG00000004777.14","ARHGAP33"
"59","ENSG00000004779.5","NDUFAB1"
"60","ENSG00000004799.7","PDK4"
"61","ENSG00000004809.9","SLC22A16"
"62","ENSG00000004838.9","ZMYND10"
"63","ENSG00000004846.12","ABCB5"
"64","ENSG00000004848.6","ARX"
"65","ENSG00000004864.9","SLC25A13"
"66","ENSG00000004866.14","ST7"
"67","ENSG00000004897.7","CDC27"
"68","ENSG00000004939.9","SLC4A1"
"69","ENSG00000004948.9","CALCR"
"70","ENSG00000004961.10","HCCS"
"71","ENSG00000004975.7","DVL2"
"72","ENSG00000005001.5","PRSS22"
"73","ENSG00000005007.8","UPF1"
"74","ENSG00000005020.8","SKAP2"
"75","ENSG00000005022.5","SLC25A5"
"76","ENSG00000005059.11","CCDC109B"
"77","ENSG00000005073.5","HOXA11"
"78","ENSG00000005075.11","POLR2J"
"79","ENSG00000005100.8","DHX33"
"80","ENSG00000005102.8","MEOX1"
"81","ENSG00000005108.11","THSD7A"
"82","ENSG00000005156.7","LIG3"
"83","ENSG00000005175.5","RPAP3"
"84","ENSG00000005187.7","ACSM3"
"85","ENSG00000005189.15","AC004381.6"
"86","ENSG00000005194.10","CIAPIN1"
"87","ENSG00000005238.15","FAM214B"
"88","ENSG00000005243.5","COPZ2"
"89","ENSG00000005249.8","PRKAR2B"
"90","ENSG00000005302.13","MSL3"
"91","ENSG00000005339.8","CREBBP"
"92","ENSG00000005379.11","BZRAP1"
"93","ENSG00000005381.6","MPO"
"94","ENSG00000005421.4","PON1"
"95","ENSG00000005436.9","GCFC2"
"96","ENSG00000005448.12","WDR54"
"97","ENSG00000005469.7","CROT"
"98","ENSG00000005471.11","ABCB4"
"99","ENSG00000005483.15","KMT2E"
"100","ENSG00000005486.12","RHBDD2"
"101","ENSG00000005513.9","SOX8"
"102","ENSG00000005700.10","IBTK"
"103","ENSG00000005801.12","ZNF195"
"104","ENSG00000005810.13","MYCBP2"
"105","ENSG00000005812.6","FBXL3"
"106","ENSG00000005844.13","ITGAL"
"107","ENSG00000005882.7","PDK2"
"108","ENSG00000005884.13","ITGA3"
"109","ENSG00000005889.11","ZFX"
"110","ENSG00000005893.11","LAMP2"
"111","ENSG00000005955.8","GGNBP2"
"112","ENSG00000005961.13","ITGA2B"
"113","ENSG00000005981.8","ASB4"
"114","ENSG00000006007.7","GDE1"
"115","ENSG00000006015.13","C19orf60"
"116","ENSG00000006016.6","CRLF1"
"117","ENSG00000006025.7","OSBPL7"
"118","ENSG00000006042.7","TMEM98"
"119","ENSG00000006047.8","YBX2"
"120","ENSG00000006059.3","KRT33A"
"121","ENSG00000006071.7","ABCC8"
"122","ENSG00000006074.4","CCL18"
"123","ENSG00000006075.11","CCL3"
"124","ENSG00000006114.11","SYNRG"
"125","ENSG00000006116.3","CACNG3"
"126","ENSG00000006118.10","TMEM132A"
"127","ENSG00000006125.12","AP2B1"
"128","ENSG00000006128.7","TAC1"
"129","ENSG00000006194.6","ZNF263"
"130","ENSG00000006210.6","CX3CL1"
"131","ENSG00000006282.15","SPATA20"
"132","ENSG00000006283.13","CACNA1G"
"133","ENSG00000006327.9","TNFRSF12A"
